index,code,longitude,latitude
466,DE,10.23173618,47.37374503
176,FR,-3.125072831,47.59540916
312,CH,9.544863183,46.30624512
184,FR,-4.546599859,48.17443606
471,DE,8.576418087,47.5913731
483,NL,5.865000142,51.04534503
134,GR,24.17639119,35.58889106
484,NL,6.080836162,50.91471809
181,FR,-4.443472946,47.97666421
456,DE,12.75971818,48.12172713
813,HU,18.84533614,48.04912711
242,FR,6.799345141,45.78866411
555,AT,10.4818002,47.58651814
155,FR,-1.040626777,44.6749271
669,HR,17.57852714,42.94382705
750,DK,9.5897181,55.41819113
599,BA,15.78576327,45.16895396
1129,SI,16.60787324,46.47623598
392,DE,8.097773193,53.44444504
714,DK,8.12770916,55.98381805
1127,SI,16.11180019,46.86971806
558,AT,13.01250012,47.46979108
329,CH,8.70548213,47.711036
457,DE,13.00889121,47.85416421
458,DE,12.91395409,47.72500009
191,FR,-3.582426852,48.6777732
269,FR,3.177654018,42.43680908
1020,PL,17.91889125,54.82666413
924,IT,14.24583616,37.06221808
97,GR,23.51708225,37.4327091
778,DK,12.51624519,55.92250007
1047,RS,19.51055415,43.68582715
436,DE,14.14916331,52.8627822
644,HR,16.60787324,46.47623598
757,DK,12.15860916,54.99277317
656,HR,18.6341633,45.08332712
820,HU,22.15144508,48.41191818
85,GR,23.05486321,39.09790912
926,IT,13.15597316,37.49124496
747,DK,9.554582167,55.70298222
309,CH,10.05139115,46.5415181
564,AT,13.44322718,48.56023612
1083,RS,20.07141814,42.56090919
677,CZ,14.18416329,48.59610916
1217,RO,29.04443612,45.0031911
1249,ES,3.317991218,42.32048218
1266,ES,-2.122917732,36.73346425
1046,RS,19.22880921,43.51321812
262,FR,4.815054114,43.39921803
126,GR,20.78110919,38.93166413
110,GR,21.56534503,37.15506426
732,DK,9.866391145,56.65027324
969,ME,19.98555409,42.72763614
1004,PL,14.82833619,50.86582712
1019,PL,16.54360919,54.54471803
239,FR,6.737782242,46.44749109
587,AT,12.18610918,47.09458223
361,BE,4.149236125,49.97837317
280,FR,9.288891258,42.67500014
589,AT,11.01680015,46.77332701
992,PL,18.85124504,49.51735408
1068,RS,22.13750011,44.48027316
639,HR,15.17445414,45.42581805
544,AT,10.39076335,47.00256418
132,GR,23.74187316,35.68631811
33,PT,-8.994308767,38.94061801
583,AT,14.5450002,46.40749113
327,CH,6.971663325,47.29193615
494,NL,3.997845039,51.59013604
32,PT,-8.919745871,38.7658912
1070,RS,22.76250913,44.5526001
157,FR,-1.245836722,44.67534502
1295,ES,-6.602290788,41.9491642
1172,BG,28.01305416,41.98221807
584,AT,13.71865401,46.52660904
1104,SK,22.55805406,49.07943601
1,PT,-8.880836741,41.75166426
936,IT,15.09250025,37.49027316
985,PL,20.91360914,49.29610905
1209,RO,28.24680013,46.60780018
825,IT,14.01666319,42.67000016
662,HR,15.78576327,45.16895396
201,FR,-1.942081858,49.72159122
1220,RO,28.7808271,44.66096419
1208,RO,28.07937329,46.98227311
1128,SI,16.34902716,46.842354
291,CH,6.971663325,47.29193615
1065,RS,21.37343616,45.01360913
37,PT,-9.085554836,39.61500013
324,CH,5.967009078,46.20729122
1314,ES,-8.950281815,43.29360907
225,FR,7.425554112,49.17645403
128,GR,21.14430024,39.00874512
580,AT,16.11180019,46.86971806
876,IT,7.127782139,45.25930015
935,IT,15.64793611,38.2645731
161,FR,-0.781526726,45.46651806
43,GR,20.22000011,39.64735411
1066,RS,21.55395402,44.89242709
341,BE,3.895418182,51.20569117
648,HR,18.95666323,45.78250005
465,DE,10.17333611,47.27471804
8,PT,-7.131181839,41.99380907
1178,BG,26.14000021,41.35471812
1017,PL,14.22555413,53.9286002
448,DE,12.0937002,50.32253613
1276,ES,-6.262217864,36.47582701
774,DK,12.04097317,55.92166423
615,BA,19.05957322,43.23594509
856,IT,14.40194508,40.60000015
119,GR,22.37430011,38.33457322
1316,ES,-7.898054903,43.76416425
1204,RO,26.15860921,47.98525399
1248,ES,3.177654018,42.43680908
780,DK,12.33945408,55.59020908
632,HR,14.32305411,45.35096414
539,AL,19.30720918,40.64530903
917,IT,12.41580015,43.95795402
17,PT,-7.532508873,39.66941812
961,ME,18.57638215,42.66305408
1170,BG,27.44958223,42.47298219
146,FR,0.716109157,42.85888216
470,DE,8.406945056,47.70180015
343,BE,4.30968218,51.26202711
123,GR,21.16416334,38.30006425
323,CH,6.13326329,46.14978214
550,AT,9.566727209,47.54045405
230,FR,7.385418206,47.43332712
419,DE,10.69055402,54.30930021
1089,SK,16.84471817,48.3619731
1288,ES,-7.017217795,39.67500014
1149,BG,22.93560012,41.34212716
1086,SK,18.66305405,47.7597181
24,PT,-7.897781821,37.00889107
1158,BG,22.68143618,44.22470004
100,GR,22.72555416,37.56340007
565,AT,13.72600024,48.51559109
1106,SK,21.78097318,48.34069111
105,GR,22.48889129,36.38610913
143,GR,23.68194507,35.22444507
993,PL,18.57874518,49.91221816
944,IT,8.192500099,40.91360906
846,IT,15.63513611,38.00458222
1176,BG,26.36110023,41.71105411
506,NL,5.369863183,53.07040915
187,FR,-4.440463842,48.3462002
921,IT,12.44874505,41.90636419
330,CH,8.673954104,47.70285409
445,DE,12.98555415,50.41832703
245,FR,6.623963204,45.11571815
723,DK,9.072782157,56.80761815
534,AL,20.22000011,39.64735411
354,BE,5.747773191,49.9074911
164,FR,-1.114636803,46.31658219
617,BA,18.70277321,43.25714511
612,BA,19.51055415,43.68582715
756,DK,12.17874517,55.11847322
823,HU,21.17736333,46.29736416
259,FR,5.231527079,43.465827
962,ME,18.48173605,42.9661732
785,DK,8.61847328,57.12152713
758,DK,11.90090922,54.97882702
1084,SK,18.84533614,48.04912711
915,IT,12.47152706,43.89868223
62,GR,26.32500021,41.23470904
63,GR,26.36040923,40.95388209
898,IT,13.71865401,46.52660904
1002,PL,15.37971823,50.77944507
314,CH,9.036663195,45.83777317
664,HR,16.12986319,44.49235399
847,IT,15.62958226,38.2293002
1213,RO,29.41138226,45.43581817
1063,RS,20.80832707,45.47888221
633,HR,13.9044451,44.7725642
728,DK,9.171836136,56.67464513
735,DK,10.30866327,56.57816322
170,FR,-1.734999899,47.20867317
453,DE,13.72600024,48.51559109
524,AL,20.58964506,41.88219112
379,DE,5.96360921,51.80666424
1218,RO,28.86919114,44.94050904
832,IT,18.01263613,40.64305397
1227,RO,27.03642715,44.14733608
855,IT,14.83076325,40.63151812
84,GR,23.3436823,39.18180007
535,AL,20.01002707,39.69120018
720,DK,8.643536177,56.47430021
802,HU,16.34902716,46.842354
237,FR,6.13326329,46.14978214
316,CH,8.445000239,46.24721808
654,HR,19.03971817,44.8613822
475,NL,6.689582274,52.55055396
38,PT,-8.660136704,40.69110909
986,PL,20.36055407,49.39305398
525,AL,20.45881814,41.52082715
284,FR,9.219654056,41.36729114
606,BA,18.84673608,44.86277309
998,PL,16.64000024,50.10889114
1187,RO,22.76250913,44.5526001
362,DE,7.588273172,47.58448217
899,IT,13.38347327,46.29513608
1156,BG,22.54166325,43.47561807
414,DE,9.24833609,54.81263601
1272,ES,-5.334508818,36.1625641
295,CH,7.588273172,47.58448217
1242,ES,0.67550923,42.68848209
30,PT,-9.183890822,38.4197181
282,FR,9.459582179,42.98804511
297,CH,8.406945056,47.70180015
982,PL,22.55805406,49.07943601
845,IT,16.05729117,37.92423597
1171,BG,27.67916322,42.4183181
398,DE,8.484100141,53.6863181
15,PT,-6.870690896,40.01597311
957,IT,8.551391233,39.05000017
704,DK,9.461527116,55.12214499
546,AT,9.598636109,47.06383606
498,NL,4.018054142,51.97905401
515,NL,6.74194503,53.46582711
406,DE,8.883609139,54.29416417
195,FR,-2.307217845,48.67610906
621,BA,17.64984506,42.88907311
776,DK,12.30166327,56.12860906
570,AT,16.10333615,48.75000006
764,DK,11.50639114,55.86721807
171,FR,-2.129445893,47.30971802
932,IT,13.31860924,38.21749111
257,FR,6.16528216,43.05055399
384,DE,6.689582274,52.55055396
1281,ES,-7.431854956,37.2531912
1298,ES,-8.136108833,41.80916412
1309,ES,-8.720499818,42.69849109
1100,SK,20.36055407,49.39305398
1185,RO,22.68143618,44.22470004
117,GR,23.22464519,38.15340006
1003,PL,15.17694507,51.01471805
671,CZ,17.18790916,48.86944503
1315,ES,-8.329726774,43.40388222
255,FR,6.63639122,43.31110009
787,DK,9.957709131,57.58624499
232,FR,6.881663309,47.36367317
905,IT,13.42889111,45.67721815
122,GR,21.35805402,38.43291809
127,GR,21.08513607,38.86402703
264,FR,4.758963255,43.37414507
882,IT,8.445000239,46.24721808
799,HU,18.40750021,45.74832703
400,DE,9.283400106,53.85554504
92,GR,23.65708216,38.36027314
490,NL,4.252363205,51.37514509
26,PT,-8.795863857,37.44250905
1293,ES,-6.190454859,41.57963609
1200,RO,23.17416334,48.10832715
1181,BG,22.93560012,41.34212716
883,IT,8.822218069,46.09860912
983,PL,21.61263606,49.43652705
1193,RO,21.48277322,45.18360905
